label,tweet
1,"aptly named... we have whitesboro in ny with its ndn killing town seal, and whiteland with its mascot"
1,so is it offical that are officially in the eyes of the masses?
1,any other striker in the league did the same wouldnt have been disallowd
1,video men and women malayalees xxx picturebangladeshi
1,more americans hate him
1,"ado asians need higher test scores? is it harder for to get into college? the answer is yes,a"
1,"""ebonics"": pa of huge con-job blacks &amp; liberals have been running on america for decades. is actually lack of lana|"
1,the bearas rapacious hunger for oil also sealed its doom. a|
1,"anyone who thinks asian fetishes are ""harmless"" needs to read this."
1,"seriously lede. come on, you can do better."
1,the truth about &amp;
1,can't effo a logic point w/out or especially if that's wha|
1,my story: how and have played a role in my life -
1,"hello there sweetie! d i will be glad to see you here i,d"
1,are you &amp; feel like the are a|on you? listen
1,'racism w/out races': classifying humans into races the biggest mistake in history of science. racea|
1,one thing i agree with evan on are
1,the for
1,this is a completely justified call out on my comment. again i do apologize
1,racist old woman is america oldwoman
1,why is ignored
1,racism is a manmade tool to say we're different when we really aren't
1,vandalised in in condemns act
1,kinda digged the white chick tho thought she was gonna win but guess
1,uk 2016: where it fell to pop star to do the job of the
1,"as a student in 89/90 in a bar i stood next to a white man who said ""i don't do pakis"""
1,the anc never prosecute that type of offences against white people. just listen to zuma and malema and you know why.
1,"bullshit, he was thrown out for being a muslim"
1,"obama joins the jackals d$? ass america will miss obama, when they realize trump will do nothing for them."
1,haha i get it
1,! tears
1,so far all the blog comments claim senad lulic statement wasn't racist. join the debate.
1,muslims arenat the only ones being displaced by uncle sam a| a|
1,next attack wont be in japan. guaranteed.
1,on and but none against or or
1,we cannot address issues of fair trade or fresh h20 with so much violence. better 2017?npr:
1,".@user just delete your account, shallow , and go away."
1,here comes a douchebag who can only poke his nose as sme of all.
1,"i noticed too. definitions of , and are trying to be changed so people don't hv to. htta|"
1,classic ! yet you jewish bastards wonder why you are sooo hated in the world.
1,"""the dying of the light"" village green/townA2"
1,"you're the one who should be leaving this eah, you piece of shit!"
1,directly applicable to trump.
1,"the left don't know how to do anything right, including insulting."
1,huh i wonder why?d- could it be that he's a well documented ?
1,campaign co-chair unleashes on the in 2017 wish list | mic
1,"the odds of dying from extremist violence are roughly one in 400,000."
1,in chief- the gangs all here more at
1,is against a
1,"expressions of , (ie are pa of all marginalized groups, who live w/ fear."
1,university of wisconsin-madison won't cancel racially biased 'problem of whiteness' course
1,both &amp;
1,vandalised in in condemns act
1,d! publishing industry tell-all! d! just $3.99!
1,saying i am not racist is not a| protest and denounce
1,the latest the blicqeraC/ daily! thanks to
1,"suck it, haters! voters hate/fear this, voters love/know this. who is the ?"
1,"turns into a raging sexist, and genocide-defender."
1,the latest the all in one news24 daily! thanks to
1,"carl paladino, trump ally, wishes obama dead of mad cow disease in a17"
1,are you &amp; feel like a| are stomping on you? listen
1,why is it christmas eve? why not christmas adam?
1,take that painting down asshole! fucking chump
1,is guilty of treason ! we must naked raygun treason
1,the latest thanks to
1,reject news - my latest aicle on
1,.@user are you seriously considering a performance at the inauguration of a
1,are you &amp; feel like the a| stomping on you? listen
1,the problem isnat that everyone believes this caoonish rendition of the facts a|
1,all the snowpeople in this movie are white.
1,"when lauren duca says that looks like she smells like vanilla, she means white. rocks! a$?a$?a$?his tenacity"
1,"pure today in everybody looking arabic is kettled, female friends had to leave for better pics of media. presented by gov"
1,excellent! rambling about: the alt right (@user d
1,1.48 projection s
1,you might be a libtard if...
1,are you &amp; feel like the are a| on you? listen
1,this is really telling.
1,nothing about the soul has fled the
1,"live the c.o.w.s di, compensatory call-in or 641.715.3640 code: 564943# iswara|"
1,what in the fuck is this?
1,the media distos the threat of islamic extremism. a|
1,"the more familiar we become, the more difficult it is to stereotype. . a|"
1,"is this a new one? either way, disgraced themselves."
1,"hey you piece of , obama will always be more of a than you ever will"
1,vandalised in in condemns act
1,intolerant post-brexit britain: history shows we can be better than this |
1,"this is awful! just slap on the face to hey my neighbor black just bought a $700,000 house. we r soa|"
1,don't hire graduates. they're taught &amp;
1,how dare you accurately poray china? next they'll say he's a lapdog for putin.a|
1,expes explain the best way to deal with friends &amp; family.
1,the historian whitewashing ukraineas past
1,"has your body, the bodies of your generations, been the sites of fear, repulsion, violent desire,hatred?"
1,"sickening, but very impoant, reading"
1,woman catcalled walking in shuts down harassers in best way ever
1,"if krakow is so beautiful then go &amp; stay there, &amp; let us build our &amp; here uk. i have east european"
1,this who tweeted this sewage below doesn't understand why he and
1,why do the most wise words often come from black americans? is it just a reaction of ?
1,go fuck yourself richie. we like it and it's not going anywhere! d$?
1,the idiocy of feminism. they actually think microaggressions matter. here's the proof:
1,"""kevin didnat understand what head done, but he knew head fucked up."" by"
1,"st. mark's cathedral: 'we will name racism, anti-semitism, xenophobia as sins' - komo news"
1,people spit on the face of
1,sea shepherd suppoers are racist!
1,"a!i, acharles paladino's racist comments spark calls for resignationa"
1,you might be a libtard if...
1,in ufc pay: amanda nunes (@user who was &amp; still is the champ whopped ronda rousey but less of a payday - $3 mil to $100k
1,there is no correlation between the religion of islam and violence. a|a|
1,what does have against via
1,welcome 2017 touches new heights!
1,confessions of former neo-#confederate.
1,man st.louis racist than a muthafucka.
1,reagan convinced ksa to flood the market and drive oil prices to historic lows.
1,!!! no-balls to 'own' his ... 'coward' !!! ///
1,enlightenment is wasted on the wilfully blind. a|
1,boob naked assault
1,black women demonic porn
1,dear would you please ask these shameless givea|
1,greenspanas policies are now largely blamed for the mogage crisis. a| a|a|
1,"""nigger?"" of a white kid who grew up in the 60's."
1,council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.
1,"is attempting to sabotage or country in his final days,"
1,read and understand how berniebros chose sanders over hillary
1,"d"" now, that's not nice! we're urging president-elect to denounce through his accta|"
1,would you want your child to attend this school? i wouldn't.
1,b4 sm we didnt hear this latent every single day..
1,are a| &amp; feel like the are stomping on you? listen
1,"trump, brexit based on misconceptions about race and nationality, says renowned philosopher | cbc radio"
1,police kill a substantially larger number of whites every year than they do blacks.
1,the bearas rapacious hunger for oil also sealed its doom. a|
1,are a| &amp; feel like the are stomping on you? listen
1,i really should have gotten more credit for this one.
1,why is ignored
1,new video! wanna see the worst sha|
1,and in a not so stunning response plan to nominate member to lead their pay.
1,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep"
1,not ever
1,it's not the job of those who are disadvantaged by white privilege to calmly educate white people aboua|
1,pt 2 .that's your bitch ass
1,allows &amp; work for your station. acceptable?
1,great to see quebec is establishing a provincial inquiry into systemic &amp; towards indigenous ppls
1,: ally carl slammed for wish list for what a cockwomble
1,i fought against both sides of the argument yesterday:
1,"in the news: from racism to resource development, here are the political stories inuit watched in 2016a|"
1,you might be a libtard if...
1,are you &amp; feel like the are stomping on you? a|
1,champ gets $200k for beating who got $3 million is sophisticated
1,the cold war was fought over oil. a|
1,oops! i did it again! melted another fragile snowflake! heed
1,someone find this man
1,girls in the world nude yong girl
1,"boycotting because it's blatantly . many don't know who their father is, so please"
1,classy!
1,it is people like you whom they've come up with the terms for like and
1,sea shepherd suppoers are racist!
1,motherhood...unscripted new post: happy new year a seriously.
1,.@user my gf used uber without forcing language preferences so you are reading my data and making choices
1,"retweet, like, and comment! goes on against two ... ona|"
1,proved my point-. and i hardly think teen vogue classifies as fake news. you just don't like her opinion
1,will send you to the inauguration~ join today!!
1,"if i was a female &amp; not white , would be shut down for"
1,more evidence of the impoance of in the vote
1,"- ""happy new year,"" says the with his pennyloafer on the neck of the usa."
1,total asssss...worst mistake ever...lord help us all...
1,so this girl walks into and refuses to let me serve her because i'm a white guy? whoa hey there and
1,all lives matter.
1,"i noticed too. definitions of , and are trying to be changed so people don't hv to."
1,"and being a ww, i feel culpable 4 deeply entrenched systemic that exists so i do all i can to dismantle"
1,'cept she plays a celtic woman. celtic symbols and accent etc. but because she's bald character ppl assume she's a man.
1,adveisments naked fucking whores
1,add to your list karma sa|
1,you might be a libtard if...
1,scary that it's not that long ago!
1,insane crazy racist white woman reaction! paranormal- insane free classifieds ads
1,i feel triggered by your statement. me &amp; my strawberry blonde locks are going to our safe space.
1,"cuomo: paladino's 'racist, ugly' comments on the obamas embarrass new yorkers"
1,good night sweet d on the 5th day of is which means purpose. our purpose in 2017 is to fight
1,was a fighting &amp; in with her her her &amp; ha|
1,the latest the equality echo! thanks to
1,are you &amp; feel a| the are stomping on you? listen
1,absolutely disgusting
1,"if you say the said that &amp; can be found with extremists of all faiths,a|"
1,its about time calls an gets results
1,worst customer service in the united states! already repoed 2 the better business bureau!
1,greenspanas monetary policies equated to declining real wages for workers a| a|a|
1,no! the neighbor has not been arrested. the cop was more interested in the kid littering than the assault of the kia|
1,the latest the daily! thanks to
1,techjunkiejh:'alt-right' site plans a 'fake black person' twitter campaign a|
1,"dear , djt not allowing 2 use america's freedoms 2 destroy r freedoms is not or"
1,that's why bilal called the adhan on the kaaba always existed hamza yusuf that was not nice d
1,the temptation to blame everything on a scapegoat is too strong to resist. a|a|
1,vandalised in in condemns act
1,"""most boys can use a drill..."" really? :-)"
1,"leave a 'gweh' below a! if in 2017, you will no longer debate about"
1,the cowboys racist. i'm convince fooh. my nigga got 12 wins and y'all gon swap him for the white boy who ain't did shit.
1,my is to not shop at as long as they suppo brands.
1,black women free kerala girls sex photos
1,"can ""whites only immigration"" make america great again? via"
1,our most popular post this year was brilliant take on
1,great country: and :
1,thought factory: left-right polarisation! &gt;15
1,"content: , harma|"
1,what's humiliating is that our great country will have an ignorant tacky lying president
1,thought factory: left-right polarisation! ~11
1,this is what trumpas ny campaign chair had to say about the sitting president of the united states and the first laa|
1,(vine by 9/11 did bush)
1,why is ignored
1,barack gets real about the he in office via
1,most likely the us is deploying bc we're and interfering with the within stop killing eaca|
1,are a| &amp; feel like the are stomping on you? listen
1,plz sign
1,is what the lds church stands for? who knew?
1,i'm trying so hard to make your handwritten indirect pretty and you tweet shit like this. shut up
1,.@user .@user .@user silence is approval. we always knew what pigs youa|
1,why is ignored
1,not all muslims hate america. a| _OSSUO!U O1Ua|
1,you might be a libtard if...
1,are you &amp; feel like a| are stomping on you? listen
1,i say it was just as good as but it won't win an oscar
1,this is what is referring to when he ignorantly shouts &amp; his racist sheep sta bleating
1,here's being a racist troll. would love for you to spread the word
1,megaupload porn link porn video
1,so yes..u think brown skinned people can't think for themselves eh
1,no u don't. did u not single out a race ?
1,to say that all muslims hate america is to suggest theyare all the same.
1,indianapolis colts black cheerleader hugs boy who used slur. so. much. class
1,easy. you're a and a
1,ally carl paladino said first lady should go live in a cave with a gorilla prick
1,"nazis continue to target jews, businesses in"
1,"your ignorance, and is egregious. don't dare speak 4 'rest of"
1,someone should feed you grenades you stupid fuck shit
1,you might be a libtard if...
1,vandalised in in condemns act
1,are you &amp; feel like the are a|on you? listen
1,says dumb people think they can smell ! lol
1,"white ""social justice warriors"" _ getting it wrong, again. via"
1,"and don't forget, that per megyn kelly of jesus &amp; santa are also white."
1,this white crowd turned its back on an all-black basketball team at a high school game.
1,"y'all, is global. we just may have to lose before folks understand."
1,dear change a few words and tell me how your aicle isn't ? you people are sick.
1,surprise! adam saleh is a ! (@user )
1,porn video smoking porn fetish
1,says a president elect that calls americans enemies
1,you might be a libtard if...
1,the white flight of derek black
1,"outraged by the emoji update. how dare they have a fat woman and not a fat man, are they saying only women can get fat? d$?degd 1/4"
1,the waiter was black himself.for fuck sakes!stop looking for fucking under every rock.a|
1,no joking matter! officers fired for joke about target practice in neighborhoods via
1,dear please give us a multi-racial &amp; objective list to prove you are not in your selectiona|
1,hitler called...
1,dull british .
1,reagan convinced ksa to flood the market and drive oil prices to historic lows. a|
1,and you will hear kurds are free and equal citizens. like state's mouthpiece 'journo' claimed.a|
1,stop bullying. stop racism. everyone can stand up to it and say it's wrong and treat everyone with respect.
1,im so with and their &amp;
1,"sick of liberals thinking it's ok to dictate where they think israeli jews should be allowed to live, including in isra|"
1,no one should be denied civil rights because of their religion.
1,apologists be like ... doubletree by hilton londona|
1,many toy adves are and show 'narrow and limiting' study warns via
1,stirs anti-jewish hate &amp; on twitter from progressives
1,because many of us find obama's policies repugnant does not make us you're liberal raca|
1,"what over-rode journalists' integrity was greed and ambition, along with a total absence of courage."
1,crazed woman 'launched sick attack on muslim cab driver over APS7 fare' |
1,the latest the indigenous and remote daily! thanks to
1,"8 presidents, same policy on israeli settlements but only obama is slammed as a treacherous anti-semite. a|"
1,we need more aicles like this from on positive narratives against .
1,"is restricted duty like a straght jacket and padded room? if not, we should look into that.#blacklivesmattera|"
1,vandalised in in condemns act
1,trump ally wishes mad cow disease death for obama
1,no immigration for 50 years? white nationalist leader unloads 5 of his most horrifying hopes for america
1,will the alt-right promote a new kind of genetics? mt
1,washington post editorial: calling racism by its name - salt lake tribune
1,"woh reading. ""here's how joseph boyden reinforced systemic oppression of first nations"" via|"
1,you're a . disgusting.
1,"is ? please stop this ""offended culture"" madness!"
1,"i agree, but hard to believe he does, given his strident opposition to ordination of women."
1,you forgot because vetting people from terrorist is .dumb
1,"awe the peoplea originally meant awe the white, landholding males.a a|"
1,"sadly, those you call your enemies are the majority of americans."
1,the ironies inherent in my experiences living &amp; working in
1,"- please stop calling yourself ""canada's iconic dept store."" nothing ""iconic"" about suppoing a|"
1,smoke out the old year and new year at the same time! marijuana unleashed at ibooks.
1,small brains...just close eyes...vote for
1,can everyone please pound on for this comment on about a great lawa|
1,"how about a qualifications trc, professor bozzoli?"
1,sea shepherd suppoers are racist!
1,black judge quietly removed from shooting trial with little explanation
1,"no, we're not"
1,president jimmy caer leaving his religion due to
1,christmas eve? what about christmas adam? this is towards men d$?d$? down with feminism
1,nothing would be more dangerous than to give the impression we accept
1,you might be a libtard if...
1,"creature on the eah, w/ girls in"
1,"lovecraft country 4 stars as appropriate, also funny"
1,"""green book"" ""sundown towns"", guide a reminder of that faced travellers under"
1,thats . r u racist?
1,a&amp;e scraps controversial series
1,10 hours of walking in as a woman
1,racist austin police ofc cameron staff
1,far right in showing euro values of .
1,because i've been paying attention for the past year/8 years. he's a a|
1,empress regnant a distant prospect for japan despite gender equality law
1,ark man discoved racist graffiti on his car after a quick errand
1,.@user &lt;--- no more feeding at the public trough piggy.
1,alt-right and euro-conservatism
1,more evil jew why is it jew controlled media has never and never will cite any non white groua|
1,that isn't what you said when you tweeted about the over &amp;
1,"not surprised how ""news"" outlets call opposition to race-mix ad . they hate racism, though. i embraca|"
1,over the past 8 yrs
1,you're such a hatred person a &amp; is who you are!
1,not even trumpas transition team wants to deal with carl comments about the obamas - vanity fair
1,"*free sticker - ""stop sexism""*"
1,what2inlieuof stop w/#hate. look inside you are
1,re: your message of - god loves people. is not just about color - it's about hate &amp; you preach hate!
1,"everything wrong with is embodied by : , and a hostility to"
1,black trump suppoer smacks down cnn repoer for race baiting
1,i agree.
1,carl paladino needs to lose his school board seat. what a disgusting
1,oh just fuuuuuuuuuuuuck right off
1,care about follow me: i cover a|
1,thought factory: left-right polarisation! +5
1,are you &amp; feel like the are stomping a| you? listen
1,thought factory: left-right polarisation! ~6
1,why are white people when the rest of us are
1,you might be a libtard if...
1,new new new new !new order! new tweets. new new kids on the block. new
1,stay the course! never win dinosaurs belongs to us we will not go back!
1,beyond get by id myth
1,islam against racism
1,"over 12mill arrests/60mill police-civilian encounters per yr in us.shootings,accidents,""abuse"" extremely rare-thousa|"
1,trumps associates are a classy bunch.
1,you might be a libtard if...
1,how is it that a man comes in last in a race but he is declared a winner?
1,you might be a libtard if...
1,"no, jissus man, why do pple wait for the festive period to upset others. rightfully, we all should be outrage whenea|"
1,"don't bogard that joint, my friend. marijuana unleashed now at ibooks."
1,marco rubio has no consideration close to now.
1,"statement,doubling down to media:my comments in avoice were not"
1,extending your hand &amp; uniting merica is unprecedented!
1,"libtard- ""i can't believe she hate muslims and suppo trump. how can a black woman do that?"" me ""because i'm not your damn slave!"""
1,the end of
1,... what can i label him as ..that hasn't been said before? ... just for a servant to ha|
1,"and sorry if we are ethnically cleansing you in east jerusalem or bethlehem, but hey. a|"
1,nothing. that would be .
1,"""rambling about: the alt right"""
1,the latest the afl tattler! thanks to
1,"ain't hip, trendy. it scalds, it aches, it is chronic, &amp; chokes like smog. ever present but no sees it. it is aa|"
1,my family's horrible attack at in thyini thiza! we want ta|
1,how did women fair in 2016?
1,white: good dark: bad itas a twisted version of thatA makes india racist against its own people!
1,in my previous job every person's response to was doing the &amp; that's including &amp; mgta|
1,just pre-ordered this. it sounds a really great book
1,heard clip. see quoted tweet. props to exposing those views out of &amp; challenginga|
1,"vs is unabated in because how can there be such a thing with ""killer cops"" &amp;a|"
1,"if they say their comments are just a joke or smth, it will be just their opinion? i don't think so. it's a ."
1,pay = pay = pay = pay = = .
1,"it's 2016! would you question like that considering her age, condition &amp; facta|"
1,jonjo shelvey = the only man ever to racially abuse someone without saying anything!
1,amateur spanking vids against women in the workplace
1,"ppl wait for 10 hrs karachi airpo, miss connecting flights put them on flights 24 hrs latea|"
1,book - enduring conviction: fred korematsu &amp; his quest for hta|
1,coming from and the
1,stop calling ! i've met him. bbc is more than he. he's got big work ahead.
1,"thank you sara for the unforgettable response to and appalling comments by the heabroken ""doctor""a|"
1,2017 a new beginning!! getting rid of this good riddance pos!!
1,lame duck and lame dick
1,irritations like new-#ghostbusters haters indisputably are intrusively indecent imitations.
1,"anybody who says against men doesn't exist, hasn't tried to buy disney/looney toons-themed in men's sizes/cuts."
1,best think i've ever heard about nicola sturgeon. so it can't be true.
1,you might be a libtard if...
1,"i'm guessing a shiless man doesn't objectify himself by being shiless, but a shiless woman is?"
1,the white flight of derek black
1,1/2 we're told over &amp; over that laws are need to &amp; realia|
1,how can sainsburys have no red stripe?? ddd
1,"al capone was jailed for tax evasion, not murders he committed. what is 's achilles heel?"
1,"in the age of information, the true ethnicity of biblical people has caused an overlap of anda|"
1,"not surprised how ""news"" outlets call opposition to race-mix ad . they hate racism, though. i embrace it. ad is sickening-"
1,"omg, what is up with the use of the word ""broad?"" and if people don't agree w/you, they're ""triggered?? a|"
1,what if michelle obama had done this?
1,great aicle of truth about needs. comments back up why it's needed. - via
1,thought factory: left-right polarisation! &gt;10
1,and you will hear kurds are free and equal citizens. like state's mouthpiece 'journo' claimed.a|
1,does present as a stereotype?
1,the bearas rapacious hunger for oil also sealed its doom. a|
1,a&amp;e to to push the producers
1,the latest the blicqeraC/ daily! thanks to
1,sign that i checked a bag at iah. every. single. time.
1,why did the resolve that is a form of
1,"trophy. i have always been one. by ""educate yourself,"""
1,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|"
1,jeff sessions omits decades of records for his ag confirmation hearing you can't hide
1,white girl has sex with black guy nude newzeeland porns
1,you'd think would b protesting 24/7 but it doesn't fit their
1,porn videos iran fucking girles
1,so much in these on posts
1,black girl porn teen virgin sex pictures
1,why is ignored
1,"coming from an ultra like surprise surprise at least they can play golf dod,"
1,vandalised in in condemns act
1,"omg, these trump suppoers are deplorable!"
1,the 1% want us to fight and pa|
1,you should take action against your filthy plantation location manager. what a disgraceful pos!
1,... how would you promote ... hitting on women ... condoning assault ... &amp; ... anda|
1,white girl has sex with black guy sexest women nude
1,because trump is a &amp; a all provena|
1,incredible content!
1,are the 1st to tell jokes
1,"d it's there, it's dalthough i'm told that andrew jackson was and also"
1,"it's no surprise that chosen is a mere basket of racists. though, is a buta|"
1,islamophobia only serves to empower the extremists.
1,is speaking out about in they'll steal her jokes and given them to men
1,almost as as dad
1,"leave a 'gweh' below a! if in 2017, you will no longer debate about ora|"
1,todays donkey are proud of murdering real palestinian semitic children - thats what i calla|
1,"so, what are you saying, blacks = criminals?"
1,is what the lds church stands for? who knew?
1,fear is the root of racism. mostly fear of your ego having to acknowledge another human being is no worse or bettera|
1,i guess they'll go back to just yelling again.
1,"this is and the rape of land that is not theirs at all for dud,"
1,$2.99! the summer that melted everything: a novel by tiffany mcdaniel via
1,stop ating my fathers son
1,"hey guys, apparently white and black people are even for that whole slavery thing, so that's nice."
1,don't think it's awarded for or being being a self centred
1,3 officers fired over target practice 'jokes'
1,you might be a libtard if...
1,why is ignored
1,"back to open ,"
1,you are disgusting and you need to be released into the wild and die of mad cow disease.
1,porn videos sexy latinas vids
1,"male privilege, huh? yeah, about that..."
1,the knee-jerk reaction is to assume that ait must have been isis.a a|
1,sex videos fucking cross
1,why is ignored
1,"i dare to speak for the rest of canada, b/c no one else dares, b/c of this massive racist bullying anyone gets fora|"
1,"""#trump won because has gone too far."" you know what you never heard? ""#obama won because has gone too far."""
1,perhaps the would be happier if was a bit more like what a hero
1,thanks to you the next four years are forecasted to be the worst. i hope your plans for
1,you might be a libtard if...
1,seems its escaped your attention that bashing whites isn't winning you any elections - over 1200 dem seats lost 08-a|
1,"d""#whitegenocide telling white students they don't deserve to live is the reason won't die!!d"""
1,are you &amp; feel like the are a|on you? listen
1,i am disgusted watching defend her career &amp; intelligence to so informing the future gen is laughable? ..
1,becoming ugly mt
1,right wings members back to fpA
1,aren't protesting because a won-they do so because trump has fuhered &amp;a|
1,fucking nude nerd girls naked
1,= the raison d'etre of the adl has always been to incite as a means to usher in
1,"&amp; joseon people in japan, will abuse the for claims of own rights by rough demo."
1,explain your actions. netanyahu you can not claim discrimination when u do it yourself to others.
1,.@user you are a disgusting wohless pig of a human being...assuming you are human. go play in traffic.
1,now ask yourself if you really want to follow i'm done.
1,you can still be .
1,"we might be going to hell, but we're not surprised at"
1,i'm blessedt
1,"your comment = a! 5,- donation for a$? sucks"
1,"i'm constantly let down by the lack of fat male role models, especially in emojis."
1,some interesting
1,vandalised in in condemns act
1,", no? or perhaps paladino is feeling some ""economic anxiety"""
1,you might be a libtard if...
1,i do d. my father had a great one and now my brother following him and yeah i married to this awesome gua|
1,nothing would be more dangerous than to give the impression we accept
